timestamp,threat_type,source_ip,destination_ip,confidence,details
2026-07-18T13:24:43.429920,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -18.748, 'confidence': 1.0}"
2026-07-18T13:24:43.561888,anomaly,20.42.65.93,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -380.376, 'confidence': 1.0}"
2026-07-18T13:24:54.528562,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -5.791, 'confidence': 1.0}"
2026-07-18T13:25:27.696332,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -14.89, 'confidence': 1.0}"
2026-07-18T13:25:59.229234,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -2.358, 'confidence': 1.0}"
2026-07-18T13:26:30.697047,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -12.841, 'confidence': 1.0}"
2026-07-18T13:26:32.681422,anomaly,185.60.218.53,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -22.743, 'confidence': 1.0}"
2026-07-18T13:27:03.696876,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -14.133, 'confidence': 1.0}"
2026-07-18T13:27:13.761120,anomaly,104.18.32.47,10.53.249.27,0.9597559315347061,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'packet_size', 'z_score': 5.76, 'confidence': 0.9597559315347061}"
2026-07-18T13:27:39.698760,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -22.046, 'confidence': 1.0}"
2026-07-18T13:28:09.718450,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -19.817, 'confidence': 1.0}"
